Object Name,length,height,width,materialNumber,Amount per bin box (LHM C),Stabilität
PAPERBOX 0713 1E 170X165X52 BL,170,52,165,1036154,18,1E
PAPERBOX 1E 0426 170X89X54 P,170,54,89,9500899,34,1E
PAPERBOX 1E 0426 170X120X76 BL,170,76,120,9500365,17,1E
PAPERBIN 1E 0426 170X120X76 BL,170,76,120,56590,17,1E
FALTSCH. 170X120X 76 1.1E,170,76,120,123186,17,1E
PAPERBOX 0713 1E 170X135X92 S,170,92,135,9661580,13,1E
PAPERBOX 0713 1B 170X165X93,170,93,165,1041241,,1B
FALTSCH. 170X269X111 1.1E,170,111,269,159537,6,1E
PAPERBOX 0426 1E 171X61X31 P,171,31,61,203778,73,1E
PAPERBOX 1B 0713 171X133X84 BL,171,84,133,9661774,16,1B
PAPERBOX 172X142X71,172,71,142,9625042,,keine
PAPERBOX 174X150X92,174,92,150,139875,12,keine
PAPERBOX 0201 1B 174X162X66 BL,174,66,162,1020633,14,1B
PAPERBOX 0201 1B 174X162X87 BL,174,87,162,1020619,12,1B
QUINT4 UPS 40A BOX,175000,66000,93000,1045135,,keine
TRIO UPS 5A BOX,175000,73000,169000,1066494,,keine
DELIVERYBOX DANGEROUS GOODS-3 180X160X220,180,220,160,116292,3,keine
PAPERBOX 1E 0426 176X103X34 P,176,34,103,9501351,45,1E
PAPERBOX 0713 1E 176X103X34 BL,176,34,103,116600,40,1E
PAPERBIN 1E 0426 176X103X34 P,176,34,103,56594,45,1E
PAPERBIN 1E 0426 176X103X41 P,176,41,103,56586,39,1E
PAPERBOX 1E 0426 176X103X41 P,176,41,103,9501335,39,1E
PAPERBOX 1E 0713 176X109X55 P,176,55,109,9501319,27,1E
PAPERBIN 1E 0713 176X109X55 P,176,55,109,56577,42,1E
PAPERBOX 1E 0713 176X109X86 P,176,86,109,9501296,18,1E
PAPERBIN 1E 0713 176X109X86 P,176,86,109,56566,18,1E
PAPERBOX 0713 1E 176X109X90 BL,176,90,109,61526,15,1E
PAPERBOX 1E 0713 176X109X186 P,176,186,109,9501267,7,1E
